,rating,rating,rating,rating,rating,rating
title,2017 콘스탄틴 버나드,스페셜라이즈드 프레임,아르곤 18 갈리움 cs,엘파마 레이다 로드,치넬리 벨트릭스,치넬리 비고렐리 샤크
critic,,,,,,
D1,,1.1,1.1,1.3,4.4,4.7
D10,,1.1,1.1,1.3,4.4,4.7
D11,,1.1,1.1,1.3,4.4,4.7
D12,,1.1,1.1,1.3,4.4,4.7
D13,,1.1,1.1,1.3,4.4,4.7
D14,,1.1,1.1,1.3,4.4,4.7
D15,,1.1,1.1,1.3,4.4,4.7
D16,,1.1,1.1,1.3,4.4,4.7
D17,,1.1,1.1,1.3,4.4,4.7
D18,,1.1,1.1,1.3,4.4,4.7
D19,,1.1,1.1,1.3,4.4,4.7
D2,,1.1,1.1,1.3,4.4,4.7
D20,,1.1,1.1,1.3,4.4,4.7
D21,,1.1,1.1,1.3,4.4,4.7
D22,,1.1,1.1,1.3,4.4,4.7
D23,,1.1,1.1,1.3,4.4,4.7
D24,,1.1,1.1,1.3,4.4,4.7
D25,,1.1,1.1,1.3,4.4,4.7
D26,,1.1,1.1,1.3,4.4,4.7
D27,,1.1,1.1,1.3,4.4,4.7
D28,,1.1,1.1,1.3,4.4,4.7
D29,,1.1,1.1,1.3,4.4,4.7
D3,,1.1,1.1,1.3,4.4,4.7
D30,,4.4,4.4,4.7,3.6,3.4
D31,,4.4,4.4,4.7,3.6,3.4
D32,,4.4,4.4,4.7,3.6,3.4
D33,,4.4,4.4,4.7,3.6,3.4
D34,,4.4,4.4,4.7,3.6,3.4
D35,,4.4,4.4,4.7,3.6,3.4
D36,,4.4,4.4,4.7,3.6,3.4
D37,,4.4,4.4,4.7,3.6,3.4
D38,,2.3,2.2,4.7,4.6,3.4
D39,,2.3,2.2,4.7,4.6,3.4
D4,,1.1,1.1,1.3,4.4,4.7
D40,,2.3,2.2,4.7,4.6,3.4
D41,,2.3,2.2,4.7,4.6,3.4
D42,,2.3,2.2,4.7,4.6,3.4
D43,,2.3,2.2,4.7,4.6,3.4
D44,,2.3,2.2,4.7,4.6,3.4
D45,,2.3,2.2,4.7,4.6,3.4
D46,,2.3,2.2,4.7,4.6,3.4
D47,,2.3,2.2,4.7,4.6,3.4
D48,,4.4,4.4,4.7,3.6,3.4
D49,,4.4,4.4,4.7,3.6,3.4
D50,,4.4,4.4,1.7,1.3,3.4
D51,,4.4,4.4,1.7,1.3,3.4
D52,,4.4,4.4,1.7,1.3,3.4
D53,,4.4,4.4,1.7,1.3,3.4
D54,,4.4,4.4,1.7,1.3,3.4
D6,,1.1,1.1,1.3,4.4,4.7
D7,,1.1,1.1,1.3,4.4,4.7
D8,,1.1,1.1,1.3,4.4,4.7
D9,,1.1,1.1,1.3,4.4,4.7
Tester,3.5,2.5,4.0,2.5,,3.0
TesterAvfYv,3.5,2.5,4.0,2.5,,4.5
TesterCArLM,3.5,2.5,4.0,2.5,,4.5
TesterCgUrn,,3.5,4.0,3.0,3.0,2.0
TesterDdBBq,3.5,2.5,4.0,2.5,,4.5
TesterFEdSS,,4.5,2.0,4.0,3.0,3.5
TesterITqbh,3.5,2.5,4.0,2.5,,1.0
TesterIazbe,3.5,2.5,4.0,2.5,,4.5
TesterIjrQd,3.5,2.5,4.0,2.5,,4.5
TesterJOLYU,3.5,2.5,4.0,2.5,,4.5
TesterKeLVi,3.5,2.5,4.0,2.5,,4.5
TesterPsfcq,3.5,2.5,4.0,2.5,,3.0
TesterTfuzE,3.5,2.5,4.0,2.5,,2.0
TesterViaKe,3.5,2.5,4.0,2.5,,4.5
TesterXutgs,3.5,2.5,4.0,2.5,,4.5
TesterYKiLr,3.5,2.5,4.0,2.5,,4.5
TesterafeYS,3.5,2.5,4.0,2.5,,4.5
TesterdAmTK,3.5,2.5,4.0,2.5,,4.5
TesterebGyy,3.5,2.5,4.0,2.5,,4.5
TestereyQVa,3.5,2.5,4.0,2.5,,4.5
TestergmfyT,3.5,2.5,4.0,2.5,,4.5
Testerizuyd,3.5,2.5,4.0,2.5,,4.5
TesterjHkmS,3.5,2.5,4.0,2.5,,4.5
TestermTKnK,3.5,2.5,4.0,2.5,,4.5
TestertzlBo,,4.5,2.0,4.0,3.0,3.5
TesterwdtID,3.5,2.5,4.0,2.5,,4.5
Testerxaqrj,3.5,2.5,4.0,2.5,,4.5
TesterxkxzY,3.5,2.5,4.0,2.5,,4.5
TesteryAFpS,3.5,2.5,4.0,2.5,,4.5
TesterzcqcS,3.5,2.5,4.0,2.5,,4.5
